KEGGid,SMILES_by_ChEBI,SMILES_by_CAS
C15643,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
C15644,CC1(C)CCC(C)(C)c2cc(ccc12)C1CCCc2oc(cc12)\C=C\C(O)=O,CC1(C)CCC(C)(C)c2cc(ccc12)C3CCCc4oc(\C=C\C(O)=O)cc34
C15645,OC[C@H](O)COC=C[*],None
C15646,O[C@H](COC=C[*])COP(O)(O)=O,None
C15647,[O-]P([O-])(=O)OC[C@@H](COC=C[*])OC([*])=O,None
C15648,CC1(C)C(=C)C2(Cl)C(Cl)(Cl)C(Cl)(Cl)C1(Cl)C2(Cl)Cl,CC1(C)C(=C)C2(Cl)C(Cl)(Cl)C(Cl)(Cl)C1(Cl)C2(Cl)Cl
C15649,COC(=O)\C=C\c1cccc(c1)N(Cc1ccc(cc1)-c1ccc(cc1)N(C)C)C(=O)C1CCCCC1,COC(=O)/C=C/c1cccc(c1)N(Cc2ccc(cc2)c3ccc(cc3)N(C)C)C(=O)C4CCCCC4
C15650,CSCCC(=O)C(=O)COP(O)(O)=O,None
C15651,[H]C(OP(O)(O)=O)=C(O)C(=O)CCSC,None
C15652,NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O)[C@H]2O[C@@H]2O[C@H](CO)[C@@H](O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3N)[C@H]2O)[C@H](N)[C@@H](O)[C@@H]1O,[Cl-].NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O)[C@H]2O[C@@H]3O[C@H](CO)[C@@H](O[C@H]4O[C@H](CN)[C@@H](O)[C@H](O)[C@H]4N)[C@H]3O)[C@H](N)[C@@H](O)[C@@H]1O.[H+]
C15653,C[S@@](=O)CC[C@H](NC([*])=O)C(=O)N[*],None
C15654,CC(C)(C)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)OCc1ccccc1,CC(C)(C)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(N)=O)NC(=O)OCc3ccccc3
C15655,CSC[C@H](NC(=O)COc1cccc2cnccc12)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)C(=O)N1CSC[C@H]1C(=O)NC(C)(C)C,CSC[C@H](NC(=O)COc1cccc2cnccc12)C(=O)N[C@@H](Cc3ccccc3)[C@H](O)C(=O)N4CSC[C@H]4C(=O)NC(C)(C)C
C15656,CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O[C@H]1[C@H](O)[C@@H](O)[C@H](O[C@H]2[C@@H](O)[C@@H](CO)O[C@@H](O[C@H]3[C@@H](O)[C@@H](CO)O[C@@H](O[C@@H]4CO[C@@H](OC[C@H](NC([*])=O)C(=O)N[*])[C@H](O)[C@H]4O)[C@@H]3O)[C@@H]2O)O[C@@H]1C(O)=O,None
C15657,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN1CC[C@H](C[C@H]1C(=O)NC(C)(C)C)Sc1ccncc1,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN3CC[C@H](C[C@H]3C(=O)NC(C)(C)C)Sc4ccncc4
C15658,N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)[C@H]1O,None
C15659,None,COc1ccc(cc1)[S](=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]3CO[C@H]4OCC[C@@H]34
C15660,None,CC(C)[C@H](NC(=O)N(C)Cc1ccccn1)C(=O)N[C@@H](Cc2ccccc2)[C@@H](O)[C@@H](O)[C@H](Cc3ccccc3)NC(=O)[C@@H](NC(=O)N(C)Cc4ccccn4)C(C)C
C15661,CC(C)[C@H](NC(=O)OCc1ccccn1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)OCc1cccnc1,CC(C)[C@H](NC(=O)OCc1ccccn1)C(=O)N[C@@H](Cc2ccccc2)[C@@H](O)C[C@H](Cc3ccccc3)NC(=O)OCc4cccnc4
C15662,OCc1ccc(CN2[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@@H](Cc3ccccc3)N(Cc3ccc(CO)cc3)C2=O)cc1,OCc1ccc(CN2[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@@H](Cc4ccccc4)N(Cc5ccc(CO)cc5)C2=O)cc1
C15663,Cl.NC(=S)Cc1ccccn1,[H+].[Cl-].NC(=S)Cc1ccccn1
C15664,COc1ccnc(CSc2nc3cc(ccc3[nH]2)C(F)(F)F)c1C,COc1ccnc(CSc2[nH]c3cc(ccc3n2)C(F)(F)F)c1C
C15665,COc1ccnc(CS(=O)c2nc3cc4c(cc3[nH]2)C(C)(C)C(=O)C4(C)C)c1C,COc1ccnc(C[S](=O)c2[nH]c3cc4c(cc3n2)C(C)(C)C(=O)C4(C)C)c1C
C15666,[H][C@]12SCC(COC(C)=O)=C(N1C(=O)[C@H]2NC(=O)CCCC(O)=O)C(O)=O,None
C15667,O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)n1cncc1NC(O)=O,None
C15668,C1CC=NC1,C1CC=NC1
C15669,CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1O[C@H]1[C@@H]2NC(=O)[C@H](NC(=O)[C@@H]3NC(=O)[C@H]4NC(=O)[C@@H](Cc5ccc(Oc6cc3cc(Oc3ccc1cc3Cl)c6O)c(Cl)c5)NC(=O)[C@H](N)c1ccc(O)c(Oc3cc(O)cc4c3)c1)c1ccc(O)c(c1)-c1c(O[*])cc(O)cc1[C@H](NC2=O)C(O)=O,None
C15670,C1=2N3C(C=C4N5=C(C=C6N7C(=CC8=N(C(=C1)C(=C8CCC(O)=O)C([H])=O)[Fe]735)C(=C6C)CCC(O)=O)C(=C4C)C=C)=C(C2C)[C@H](CC/C=C(\C)/CC/C=C(/CCC=C(C)C)\C)O,None
C15672,None,None
C15673,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)C([O-])=O,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)C(O)=O
C15674,CO[C@@H](\C=C\c1csc(n1)-c1csc(n1)C(C)\C=C\C=C\C(C)C)[C@@H](C)C(\OC)=C/C(N)=O,CO[C@@H](/C=C/c1csc(n1)c2csc(n2)C(C)\C=C\C=C\C(C)C)[C@@H](C)\C(OC)=C/C(N)=O
C15675,CO[C@@H](\C=C\c1csc(n1)-c1csc(n1)[C@@H](C)\C=C\C=C\C(C)C)[C@@H](C)C(\OC)=C/C(=O)OC,None
C15676,[H][C@]12CCCN1C(=O)[C@H](CCCCCC(=O)C1CO1)NC(=O)[C@@H](C)NC(=O)[C@H](C)NC2=O,C[C@H]1NC(=O)[C@H](C)NC(=O)[C@H]2CCCN2C(=O)[C@H](CCCCCC(=O)C3CO3)NC1=O
C15677,C[C@H]1NC(=O)C[C@@]2(CC\C(C)=C\[C@@H](O)C(=O)\C=C\C=C/c3csc1n3)S(=O)SC(=O)[C@]2(C)O,CC1NC(=O)CC2(CCC(=C\C(O)C(=O)\C=C/C=C\c3csc1n3)/C)[S](=O)SC(=O)C2(C)O
C15678,CO[C@H]1C[C@@H](C)O[C@@H](O[C@H]2[C@@H](C)C[C@](C)(O)C(=O)\C=C\[C@H]3O[C@@H]3[C@H](CO[C@@H]3O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]3OC)[C@@H](C)OC(=O)\C=C\[C@@H]2C)[C@@H]1O,CO[C@H]1C[C@@H](C)O[C@@H](O[C@@H]2[C@@H](C)C[C@](C)(O)C(=O)/C=C/[C@@H]3O[C@H]3[C@H](CO[C@@H]4O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]4OC)[C@@H](C)OC(=O)\C=C\[C@@H]2C)[C@@H]1O
C15679,CO[C@H]1C[C@@H](C)O[C@@H](O[C@H]2[C@@H](C)C[C@](C)(O)C(=O)[C@H](C)[C@@H](OC(C)=O)[C@@H](C)[C@H](OC(=O)[C@H](C)[C@@H](O[C@H]3C[C@@](C)(OC)[C@H](OC(C)=O)[C@H](C)O3)[C@@H]2C)[C@@H](C)[C@H](C)O)[C@@H]1O,None
C15680,CC[C@H]1OC(=O)\C=C\[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@H](C)C[C@@H](C)C(=O)\C=C\[C@H]2O[C@@H]2[C@]1(O)CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,CC[C@H]1OC(=O)\C=C\[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@H](C)C[C@@H](C)C(=O)/C=C/[C@H]3O[C@H]3[C@]1(O)CO[C@@H]4O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]4OC
C15681,CC[C@H]1OC(=O)\C=C\[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@H](C)C[C@@H](C)C(=O)\C=C\C=C\[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](O)[C@H]1OC,CCC1OC(=O)/C=C/C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)CC(C)C(=O)\C=C\C=C\C1COC3OC(C)C(O)C(O)C3OC
C15682,CC[C@H]1OC(=O)\C=C\[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@H](C)C[C@@H](C)C(=O)\C=C\C=C\[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](O)[C@H]1O,None
C15683,CC[C@H]1OC(=O)\C=C\[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@H](C)C[C@@H](C)C(=O)\C=C\C=C\[C@@H]1CO,None
C15684,CC[C@H]1OC(=O)\C=C\[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@H](C)C[C@@H](C)C(=O)\C=C\C=C\[C@@H]1C,None
C15685,CC[C@H]1OC(=O)\C=C\[C@H](C)[C@@H](O)[C@@H](C)C[C@@H](C)C(=O)\C=C\C=C\[C@@H]1C,CC[C@H]1OC(=O)\C=C/[C@H](C)[C@@H](O)[C@@H](C)C[C@@H](C)C(=O)/C=C\C=C/[C@@H]1C
C15686,CCCCCCCC1CC(=O)N[C@H](CC(C)C)C(=O)N[C@H](CC(O)=O)C(=O)N[C@H]([C@H](C)O)C(=O)N[C@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N[C@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CO)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CC(O)=O)C(=O)O1,CCCCCCCC1CC(=O)N[C@H](CC(C)C)C(=O)N[C@H](CC(O)=O)C(=O)NC([C@H](C)O)C(=O)N[C@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N[C@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CO)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CC(O)=O)C(=O)O1
C15687,C[C@H]1C[C@@H](C)C[C@H](C)[C@@H](O)\C(=C/C=C/C[C@@H](OC(=O)C[C@H](O)[C@@H](C)C1)[C@@H]1CCC[C@H]1C(O)=O)C#N,CC1CC(C)CC(C)C(O)/C(=C/C=C/CC(OC(=O)CC(O)C(C)C1)C2CCCC2C(O)=O)C#N
C15688,CN[C@H]1[C@@H](O)C[C@H](O[C@H]2C\C=C(C)\C\C(C)=C\C=C\CC[C@H](C)CNC(=O)\C=C\C=C\[C@@H]2C)O[C@@H]1C,CN[C@H]1[C@@H](O)C[C@@H](O[C@@H]1C)O[C@H]2C\C=C(/C)CC(=C/C=C/CC[C@H](C)CNC(=O)/C=C/C=C/[C@@H]2C)/C
C15689,C1=C(C=CC(=C1)/C=C(/C=C/2\CO[C@](C2)(C3=C(C(C(=C(O3)OC)C)=O)C)[H])\C)[N+]([O-])=O,COC1=C(C)C(=O)C(=C(O1)[C@H]2CC\C(O2)=C\C(C)=C\c3ccc(cc3)[N+]([O-])=O)C
C15690,CC[C@H]([C@H]1CC[C@H](C)[C@@H](O1)[C@@H](C)[C@H](O)[C@H](C)C(=O)[C@H](CC)[C@H]1O[C@@]2(O[C@@]3(CC[C@](C)(O3)C3CC[C@](O)(CC)[C@H](C)O3)[C@H](O)C=C2)[C@H](C)C[C@@H]1C)C(O)=O,[Na+].CC[C@H]([C@H]1CC[C@H](C)[C@@H](O1)[C@@H](C)[C@H](O)[C@H](C)C(=O)[C@H](CC)[C@H]2O[C@@]3(O[C@@]4(CC[C@](C)(O4)[C@H]5CC[C@](O)(CC)[C@H](C)O5)[C@H](O)C=C3)[C@H](C)C[C@@H]2C)C(O)=O
C15691,CCC(C)C1NC(=O)C(Cc2ccc(OC)cc2)N(C)C(=O)C(C(C)O)N2C(O)CCC(NC(=O)C(CCc3ccc(O)cc3)NC(=O)C(NC(=O)C(CCC(N)=O)NC=O)C(C)OC1=O)C2=O,None
C15692,CCC(C)C1NC(=O)C(Cc2ccc(O)c(Cl)c2)N(C)C(=O)C(C(C)O)N2C(O)CCC(NC(=O)C(CCc3ccc(O)cc3)NC(=O)C(NC(=O)C(CCC(N)=O)NC=O)C(C)OC1=O)C2=O,None
C15693,CO\C(C[C@H](C)C(Cl)(Cl)Cl)=C\C(=O)N(C)[C@@H](Cc1ccccc1)c1nccs1,None
C15694,C1[C@](OC(C[C@@H](C(C([C@@H]([C@H]([C@H](CCCC=C1)C)O)C)=O)(C)C)O)=O)(/C(=C/C=2N=C(SC2)C)/C)[H],None
