C15706,CCC1CCCC(OC2CCC(N(C)C)C(C)O2)C(C)C(=O)C2=CC3C(C=CC4CC(OC5OC(C)C(OC)C(OC)C5O)CC43)C2CC(=O)O1
C00675,NAN
C00036,O=C(O)CC(=O)C(=O)O
C00037,NCC(=O)O
C00034,[Mn]
C00035,Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1
C00032,NAN
C00033,CC(=O)O
C00030,NAN
C00031,OCC1OC(O)C(O)C(O)C1O
C00677,NAN
C00038,[Zn+2]
C00039,NAN
C09079,CC(C)C1=C2C3CC(O)C(CO)=CC(=O)C3(C)CCC2(C)CC1
C09078,COCC1OC(OC2C3=C(C(C)C)CCC3(C)C=C3C(CCC3(O)COC)C(C)C2O)C(O)C(O)C1OC(C)(CO)C1CO1
C05631,O=C1CC(c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21
C07001,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F
C05637,Oc1ccnc2c(O)cccc12
C05636,NAN
C05635,O=C(O)Cc1c[nH]c2ccc(O)cc12
C05634,O=CCc1c[nH]c2ccc(O)cc12
C09071,CC(=O)OC1CC2(C)C(CCC(O)C2(C)O)C(C=O)(CC(O)c2ccoc2)C1C
C09070,CC(=O)OCC12C(OC(C)=O)CC(C)C(C)(C3CC4C=COC4O3)C1CCC(OC(C)=O)C21CO1
C05639,Oc1ccc2nccc(O)c2c1
C05638,NCCC(=O)c1cc(O)ccc1N
C09075,CC(=O)OCC12C(OC(C)=O)CC(C)C(C)(C3CC4C=COC4O3)C1CCCC21CO1
C09074,CCC(C)(OC(C)=O)C(=O)OC1C(O)CC2C(C)(C3CC4C=COC4O3)C(C)=CC(OC(C)=O)C2(COC(C)=O)C12CO2
C09077,CC12CC(c3ccoc3)OC(=O)C1CCC1(C)C2C2C=CC1(O)C(=O)O2
C09076,C=CC1(C)CC(=O)C2(O)C(C)(O1)C(OC(C)=O)C(O)C1C(C)(C)CCC(O)C12C
C09932,COc1cc2c3c(c(-c4ccccc4)ccc3c1O)C(=O)C(OC1OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C1O)=C2
C09645,CC(C)=C1CC2C(C)(CCC(O)C2(C)O)CC1=O
C20620,NAN
C07005,CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1
C06380,O=CNC(CC(=O)O)C(=O)O
C10118,COc1c(O)cc2oc(-c3ccc(O)c(O)c3)c(O)c(=O)c2c1O
C10119,COc1cc2oc(-c3ccc(O)c(O)c3)cc(=O)c2c(O)c1O
C00064,NC(=O)CCC(N)C(=O)O
C10110,O=c1cc(-c2ccc(O)cc2)oc2c(C3OCC(O)C(O)C3O)c(O)c(C3OC(CO)C(O)C(O)C3O)c(O)c12
C10111,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(O)c(OC)c3o2)cc1
C10112,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)c(OC)c3o2)cc1OC
C10113,O=c1cc(-c2ccccc2)oc2c(O)c(O)cc(O)c12
C10114,O=c1cc(-c2ccc(O)c(O)c2)oc2c(C3OC(CO)C(O)C(O)C3O)c(O)cc(O)c12
C10115,COc1cc(O)c2c(=O)c(OC)c(-c3cc(O)c(OC)cc3O)oc2c1
C10116,COc1ccc(-c2oc3cc(OC)c(O)c(O)c3c(=O)c2OC)cc1O
C10117,COc1cc(O)c2c(=O)c(OC)c(-c3ccc(O)c(OC)c3)oc2c1
C17362,NCC(O)C(O)C(NC(=O)C(N)C(O)C1CN2C(=O)CC2O1)C(=O)O
C17363,NCC(O)C(O)C(N)C(=O)NC(C(=O)O)C(O)C1CN2C(=O)CC2O1
C17360,NC(CC1CN2C(=O)CC2O1)C(=O)O
C17361,O=C1CC2OC(CCO)CN12
C17366,O=C(O)CC1CCC(C(=O)O)N1
C17367,O=C(O)C1CCC2CC(=O)N21
C17364,CC(C)C(N)C(=O)NC(C(=O)O)C(O)C1CN2C(=O)CC2O1
C17365,CC(N)C(=O)NC(C(=O)O)C(O)C1CN2C(=O)CC2O1
C05658,Oc1c[nH]c2ccccc12
C07982,CN(C)CCCN1c2ccccc2CCc2ccccc21
C17368,CCC1C(=O)N2C(C(=O)O)=C(SCCN)CC12
C17369,NCCSC1=C(C(=O)O)N2C(=O)C(CO)C2C1
C06381,NAN
C13872,CC1CCCC(C)CCCC(C)CCC(C)CCCC(C)CCCC(C)CCCC(C)CCOC(CO)COCCC(C)CCCC(C)CCCC(C)CCCC(C)CCC(C)CCCC(C)CCCC(C)CCCC(C)CCOC(CO)COCCC(C)CCC1
C13870,CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC
C00446,O=P(O)(O)OC1OC(CO)C(O)C(O)C1O
C13876,CCCCCCCCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)CCN(C)(C)C
C13877,CCCCCCCCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCCN
C13874,CC1CCCC(C)CCCC(C)CCC(C)CCCC(C)CCCC(C)CCCC(C)CCOC(COC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)COCCC(C)CCCC(C)CCCC(C)CCCC(C)CCC(C)CCCC(C)CCCC(C)CCCC(C)CCOC(CO)COCCC(C)CCC1
C13875,NAN
C13878,CCCCCCCCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)CCN
C17830,NAN
C10374,O=C1c2ccccc2C(=O)c2c1ccc1c2OCO1
C10375,C=C1CC(=CC)C(=O)OC2CCN3CC=C(COC(=O)C1(O)CO)C23
C10376,Cc1ccc2c(c1O)C(=O)c1ccc(O)c(O)c1C2=O
C10377,CC1OC(CC(=O)O)CC2=C1C(=O)c1c(O)cccc1C2=O
C10370,COCc1c(O)cc2c(c1O)C(=O)c1ccccc1C2=O
C10371,CC1=Cc2c(C(C)C)ccc(C)c2C(=O)C1=O
C10372,COc1cccc2c1C(=O)C1=C(CCC(C)(C)O1)C2=O
C10373,CCCCCCCCCCCC1=C(O)C(=O)C=C(OC)C1=O
C15117,CCC1(O)CCC2C3CCc4cc(C)ccc4C3CCC21C
C10378,CC(C)C(O)(C(=O)OCC1=CCN2CCC(O)C12)C(C)O
C10379,Cc1cc2c(c(O)c1O)C(=O)c1c(O)cccc1C2=O
C00066,NAN
C02015,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSSCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
C18785,CCN(CC)c1c(N(=O)O)cc(C(F)(F)F)c(N)c1N(=O)O
