KEGGid,SMILES_by_CAS
C00352,NC1C(O)OC(CO[P](O)(O)=O)C(O)C1O
C00353,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CO[P](O)(=O)O[P](O)(O)=O
C00354,[Ba++].[Ba++].O[C@@H](CO[P]([O-])([O-])=O)[C@H](O)[C@@H](O)C(=O)CO[P]([O-])([O-])=O
C00355,NC(Cc1ccc(O)c(O)c1)C(O)=O
C00356,CC(O)(CC(O)=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)CO[P](O)(=O)O[P](O)(=O)OCC1OC(C(O)C1O[P](O)(O)=O)n2cnc3c(N)ncnc23
C00357,None
C00360,Nc1ncnc2n(cnc12)[C@H]3C[C@H](O)[C@@H](CO[P](O)(O)=O)O3
C00361,None
C00362,NC1=NC(=O)c2ncn(C3CC(O)C(CO[P](O)(O)=O)O3)c2N1
C00363,CC1=CN(C2CC(O)C(CO[P](O)(=O)O[P](O)(O)=O)O2)C(=O)NC1=O
C00364,CC1=CN(C2CC(O)C(CO[P](O)(O)=O)O2)C(=O)NC1=O
C00365,OC1CC(OC1CO[P](O)(O)=O)N2C=CC(=O)NC2=O
C00366,O=C1NC(=O)C2=C(N1)NC(=O)N2
C00367,None
C00369,None
C00370,None
C00371,CC(\CO)=C/CNc1ncnc2nc[nH]c12
C00372,None
C00373,CC[C@H](C)[C@H](NC(=O)[C@H](CC(C)C)NC(C)=O)C(=O)NCC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C(=O)NC
C00374,CC(=O)NC1C(O)OC(CO[S](O)(=O)=O)C(OC2OC(C(OC3OC(CO)C(OC4OC(C(O)C(O)C4O[S](O)(=O)=O)C(O)=O)C(O[S](O)(=O)=O)C3N[S](O)(=O)=O)C(O)C2O[S](O)(=O)=O)C(O)=O)C1O
C00375,None
C00376,CC(=C\C=O)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C
C00377,None
C00378,None
C00379,OCC(O)C(O)C(O)CO
C00380,NC1=CC=NC(=O)N1
C00381,None
C00383,OC(=O)CC(O)=O
C00384,NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O)[C@H]2O[C@@H]3O[C@H](CO)[C@@H](OC4O[C@@H](CN)[C@@H](O)[C@H](O)[C@H]4N)[C@H]3O)[C@H](N)[C@@H](O)[C@@H]1O.O[S](O)(=O)=O
C00385,O=C1NC(=O)c2[nH]cnc2N1
C00386,NCCC(=O)N[C@@H](Cc1[nH]cnc1)C(O)=O
C00387,NC1=NC(=O)c2ncn(C3OC(CO)C(O)C3O)c2N1
C00388,NCCc1[nH]cnc1
C00389,Oc1cc(O)c2C(=O)C(=C(Oc2c1)c3ccc(O)c(O)c3)O
C00390,COc1c(O)c(C)c(C\C=C(C)\CCC=C(C)C)c(O)c1OC
C00391,None
C00392,OCC(O)C(O)C(O)C(O)CO
C00393,None
C00394,None
C00395,None
C00396,None
C00397,NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)C[C@@H]1O
C00398,NCCc1c[nH]c2ccccc12
C00399,COC1=C(OC)C(=O)C(=C(C)C1=O)C\C=C(C)\CCC=C(C)C
C00400,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O
C00401,None
C00402,NC(CC(O)=O)C(O)=O
C00403,None
C00404,None
C00405,None
C00406,None
C00407,CC[C@H](C)[C@H](N)C(O)=O
C00408,OC(=O)C1CCCCN1
C00409,CS
C00410,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
C00411,COc1cc(/C=C/C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)CO[P](O)(=O)O[P](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O[P](O)(O)=O)n3cnc4c(N)ncnc34)cc(OC)c1O
C00412,CCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)CO[P](O)(=O)O[P](O)(=O)OCC1OC(C(O)C1O[P](O)(O)=O)n2cnc3c(N)ncnc23
C00413,CN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@H]2[C@@H](O[C@@H](C)[C@]2(O)C=O)O[C@H]3[C@H](O)[C@@H](O)[C@H](N=C(N)N)[C@@H](O)[C@@H]3N=C(N)N
C00414,O=C1CCCCC1
C00415,NC1=NC(=O)C2=C(NCC(=N2)CNc3ccc(cc3)C(=O)NC(CCC(O)=O)C(O)=O)N1
C00416,None
C00417,OC(=O)C\C(=C/C(O)=O)C(O)=O
C00418,None
C00419,None
C00420,None
C00422,None
C00423,OC(=O)\C=C\c1ccccc1
C00424,None
C00426,CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@H](O[S]([O-])(=O)=O)[C@@H]1O[C@@H]2O[C@H]([C@@H](O)[C@H](O)[C@H]2O)C([O-])=O
C00427,CCCCCC(O)/C=C/C1C2CC(OO2)C1C\C=C\CCCC(O)=O
C00429,O=C1CCNC(=O)N1
C00430,NCC(=O)CCC(O)=O
C00431,NCCCCC(O)=O
C00433,None
C00434,None
C00435,None
C00436,NCCCCNC(N)=O
C00437,None
C00438,None
C00439,None
C00440,CN1C(CNc2ccc(cc2)C(=O)NC(CCC(O)=O)C(O)=O)CNC3=C1C(=O)N=C(N)N3
C00441,None
C00444,None
C00445,None
C00446,OCC1OC(O[P](O)(O)=O)C(O)C(O)C1O
C00447,O[C@H](CO[P](O)(O)=O)[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO[P](O)(O)=O
C00448,CC(C)=CCC/C(C)=C/CC/C(C)=C/CO[P](O)(=O)O[P](O)(O)=O
C00449,NC(CCCCNC(CCC(O)=O)C(O)=O)C(O)=O
C00450,None
C00451,O[C@H]([C@H](CC(O)=O)C(O)=O)C(O)=O
C00454,None
C00455,NC(=O)c1ccc[n+](c1)[C@@H]2O[C@H](CO[P](O)([O-])=O)[C@@H](O)[C@H]2O
C00458,NC1=NC(=O)N(C=C1)C2CC(O)C(CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)O2
C00459,None
C00460,None
C00461,None
C00462,None
C00463,[nH]1ccc2ccccc12
C00464,None
C00466,CC(O)C(C)=O
C00468,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CCC2=O
C00469,CCO
C00470,None
C00472,O=C1C=CC(=O)C=C1
C00473,CC(=C\CO)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C
C00474,OCC(O)C(O)C(O)CO
C00475,NC1=NC(=O)N(C=C1)C2OC(CO)C(O)C2O
C00476,OCC(O)C(O)C(O)C=O
C00477,C[C@H]([C@H](O)CCC(C)(C)O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@H]3CC[C@]12C
C00478,OC[C@@H]1OC=C(O)[C@H](O)[C@H]1O
C00479,CCC=O
C00480,None
C00481,[nH]1cccn1
C00482,COc1cc(\C=C\C(O)=O)cc(OC)c1O
C00483,NCCc1ccc(O)cc1
C00484,None
C00486,CC1=C(C=C)/C(NC1=O)=C/c2[nH]c(Cc3[nH]c(\C=C\4NC(=O)C(=C4C)C=C)c(C)c3CCC(O)=O)c(CCC(O)=O)c2C
C00487,C[N+](C)(C)CC(O)CC([O-])=O
C00488,NC=O
C00489,OC(=O)CCCC(O)=O
C00490,OC(=O)CC(=C)C(O)=O
C00491,N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O
C00492,OC[C@H]1O[C@H](OC[C@H]2O[C@H](O[C@]3(CO)O[C@H](CO)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O
C00493,OC1CC(=CC(O)C1O)C(O)=O
C00494,CN[C@@H]1[C@@H](O)[C@H](OC[C@]1(C)O)O[C@H]2[C@H](N)C[C@H](N)[C@@H](O[C@H]3OC(=CC[C@H]3N)CN)[C@@H]2O
